  Time                 , I(R1)                , V(L1:2,C1:2)         , V(R3:1,C1:2)         , V(C3:1,C1:2)         , V(C1:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,2.500000000000e-02  ,2.500000000000e-02  ,2.500000000000e-02  ,3.475000000000e+00  
  7.200000000000e-09  ,-3.597259521528e-03  ,2.499999999949e-02  ,2.500000000000e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  1.440000000000e-08  ,-7.194519043056e-03  ,2.499999999846e-02  ,2.500000000000e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  2.880048217773e-08  ,-1.438903808611e-02  ,2.499999999538e-02  ,2.500000000000e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  5.760144653320e-08  ,-2.877998352045e-02  ,2.499999998307e-02  ,2.500000000000e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  1.152033752441e-07  ,-5.756187438990e-02  ,2.499999993383e-02  ,2.500000000000e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  2.304072326660e-07  ,-1.151037216187e-01  ,2.499999973689e-02  ,2.500000000000e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  4.608149475098e-07  ,-2.300834655763e-01  ,2.499999894943e-02  ,2.499999999999e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  9.216303771973e-07  ,-4.595940113070e-01  ,2.499999580281e-02  ,2.499999999996e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  1.843261236572e-06  ,-9.168255925181e-01  ,2.499998324328e-02  ,2.499999999976e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  3.686522955322e-06  ,-1.824189901352e+00  ,2.499993324857e-02  ,2.499999999804e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  7.373046392822e-06  ,-3.610842749477e+00  ,2.499973489284e-02  ,2.499999998513e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  1.474609326782e-05  ,-7.074749216438e+00  ,2.499895503092e-02  ,2.499999988326e-02  ,2.500000000001e-02  ,3.525000000000e+00  
  2.949218701782e-05  ,-1.358671048656e+01  ,2.499593992901e-02  ,2.499999908937e-02  ,2.500000000001e-02  ,3.525000000000e+00  
  5.898437451782e-05  ,-2.510622395948e+01  ,2.498465284962e-02  ,2.499999305479e-02  ,2.500000000000e-02  ,3.525000000000e+00  
  1.179687495178e-04  ,-4.319630936254e+01  ,2.494484619479e-02  ,2.499994923323e-02  ,2.499999999994e-02  ,3.525000000000e+00  
  2.359374995178e-04  ,-6.573744640499e+01  ,2.481816344745e-02  ,2.499965492688e-02  ,2.499999999908e-02  ,3.525000000000e+00  
  4.411865229553e-04  ,-8.201327637397e+01  ,2.452058801163e-02  ,2.499822888840e-02  ,2.499999999112e-02  ,3.525000000000e+00  
  6.748291010803e-04  ,-8.622378546931e+01  ,2.413758291278e-02  ,2.499494245798e-02  ,2.499999996189e-02  ,3.525000000000e+00  
  1.013305663580e-03  ,-8.646496918704e+01  ,2.357407479331e-02  ,2.498685173942e-02  ,2.499999984896e-02  ,3.525000000000e+00  
  1.458715819830e-03  ,-8.519958622241e+01  ,2.284821126639e-02  ,2.497028886360e-02  ,2.499999949912e-02  ,3.525000000000e+00  
  2.349536132330e-03  ,-8.271478867065e+01  ,2.146554326178e-02  ,2.491814066395e-02  ,2.499999767777e-02  ,3.525000000000e+00  
  4.131176757330e-03  ,-7.821249799355e+01  ,1.895296418223e-02  ,2.474580721698e-02  ,2.499998670613e-02  ,3.525000000000e+00  
  7.694458007330e-03  ,-7.071711473944e+01  ,1.477156582509e-02  ,2.418336914689e-02  ,2.499991678731e-02  ,3.525000000000e+00  
  1.482102050733e-02  ,-6.003963067594e+01  ,8.806342197096e-03  ,2.250235081630e-02  ,2.499948401854e-02  ,3.525000000000e+00  
  2.551320800733e-02  ,-4.993531081134e+01  ,3.152146427565e-03  ,1.943722845805e-02  ,2.499787859493e-02  ,3.525000000000e+00  
  3.731008300733e-02  ,-4.388295847002e+01  ,-2.474337007703e-04  ,1.582371430708e-02  ,2.499469378942e-02  ,3.525000000000e+00  
  4.902102050733e-02  ,-3.958335128799e+01  ,-2.667530201135e-03  ,1.255851684457e-02  ,2.499005759937e-02  ,3.525000000000e+00  
  6.005227050733e-02  ,-3.633032769273e+01  ,-4.500219506225e-03  ,9.840697819378e-03  ,2.498448304020e-02  ,3.525000000000e+00  
  8.211477050733e-02  ,-3.117530024389e+01  ,-7.405831836600e-03  ,5.355258112216e-03  ,2.497042947216e-02  ,3.525000000000e+00  
  1.262397705073e-01  ,-2.429934603917e+01  ,-1.128215881157e-02  ,-7.422885023911e-04  ,2.493380559484e-02  ,3.525000000000e+00  
  1.826960205073e-01  ,-1.956864761077e+01  ,-1.394918358832e-02  ,-4.940705273136e-03  ,2.487639171793e-02  ,3.525000000000e+00  
  2.419397705073e-01  ,-1.720384759097e+01  ,-1.528233991214e-02  ,-7.040967197458e-03  ,2.480943964051e-02  ,3.525000000000e+00  
  3.270397705073e-01  ,-1.578350394793e+01  ,-1.608314452630e-02  ,-8.306054550436e-03  ,2.470828090219e-02  ,3.525000000000e+00  
  4.319522705073e-01  ,-1.525694227168e+01  ,-1.638000717076e-02  ,-8.779769912382e-03  ,2.458066775108e-02  ,3.525000000000e+00  
  5.952522705073e-01  ,-1.506553541283e+01  ,-1.648802736108e-02  ,-8.960430673786e-03  ,2.438105435457e-02  ,3.525000000000e+00  
  8.201272705073e-01  ,-1.498305159323e+01  ,-1.653459434020e-02  ,-9.048355033954e-03  ,2.410701846037e-02  ,3.525000000000e+00  
