"time","x","y"
0,0.7071067811865476,0.7071067811865475
0.01,0.7073522540702303,0.7068612230570895
0.02,0.7080883394586918,0.7061238584856289
0.03,0.7093140160988803,0.7048926347789976
0.04,0.7110274926504829,0.7031642089122337
0.05,0.7132263212350974,0.7009338162033912
0.06,0.7159073381230594,0.6981953044969261
0.07,0.7190664254098434,0.6949413470562176
0.08,0.7226987462033293,0.6911631661454015
0.09,0.7267989095111984,0.6868503076605068
0.1,0.7313599937655448,0.6819916124992024
0.11,0.7363747045426382,0.6765739386864841
0.12,0.7418344479653372,0.6705830685395834
0.13,0.7477295948774296,0.664003353112343
0.14,0.7540499661649135,0.6568170586447134
0.15,0.7607820918102656,0.6490074027164843
0.16,0.7679118579140627,0.6405555233349973
0.17,0.7754237912504799,0.6314411642922341
0.18,0.7833012448818029,0.6216423085397406
0.19,0.791525256344182,0.6111364565866423
0.2,0.8000748940717981,0.5999001282513623
0.21,0.808927172926774,0.5879088610496503
0.22,0.8180568919594696,0.575137306664776
0.23,0.827436383045018,0.5615594643609689
0.24,0.8370354040060629,0.5471487297256634
0.25,0.8468209474787507,0.5318780714705119
0.26,0.8567570859194962,0.5157201719214917
0.27,0.8668047943992488,0.4986476194733871
0.28,0.8769217925146205,0.4806330927151653
0.29,0.8870623320095801,0.4616496714281574
0.3,0.8971770694985933,0.4416710381787741
0.31,0.9072128829812746,0.4206718257178679
0.32,0.9171127640359965,0.3986278691238918
0.33,0.9268156604644441,0.3755166194962032
0.34,0.9362563888561599,0.3513174836611792
0.35,0.9453655274771239,0.3260122995500311
0.36,0.9540693793218857,0.2995857463904977
0.37,0.9622899374807541,0.2720258741798037
0.38,0.9699449194133986,0.243324584257604
0.39,0.9769478240674099,0.2134782168043218
0.4,0.9832080626015791,0.182488097242667
0.41,0.988631133480815,0.1503611715584804
0.42,0.993118878350433,0.1171106035505665
0.43,0.9965698045799781,0.08275641727035067
0.44,0.9988794902662186,0.04732614420697221
0.45,0.9999410776981501,0.01085546552949394
0.46,0.9996458600552358,-0.02661117198523437
0.47,0.9978839650414572,-0.06501993781248801
0.48,0.994545138766194,-0.1043070800882274
0.49,0.9895196296337919,-0.1443984160903549
0.5,0.9826991835473446,-0.185208840651256
0.51,0.9739781249273738,-0.2266420352956549
0.52,0.9632545325005729,-0.2685902187666238
0.53,0.9504315484605134,-0.3109338702858709
0.54,0.9354186822655862,-0.3535419195350307
0.55,0.9181332144648736,-0.3962718769940639
0.56,0.8985017327271384,-0.4389699719642904
0.57,0.8764615164122376,-0.4814719205191108
0.58,0.8519620106136464,-0.5236036024237735
0.59,0.8249664093441389,-0.5651817614306379
0.6,0.7954529068275015,-0.6060154065860687
0.61,0.7634159782208699,-0.6459071482783513
0.62,0.7288677335456426,-0.6846545311294143
0.63,0.6918387798491383,-0.7220520083047035
0.64,0.6523789896403787,-0.757892903961898
0.65,0.6105574045634607,-0.7919720043869799
0.66,0.5664659025836575,-0.824085178370587
0.67,0.520214668170597,-0.8540355373286029
0.68,0.4719339443874486,-0.8816339104951127
0.69,0.4217734466610337,-0.9067012516213222
0.7,0.3699015316275956,-0.9290709644045275
0.71,0.3165046902023365,-0.9485909450758652
0.72,0.2617849678986265,-0.9651262252070011
0.73,0.2059582798556756,-0.9785607732577938
0.74,0.149252751410266,-0.9887990777688183
0.75,0.09190605463223997,-0.9957676823044297
0.76,0.03416261129167793,-0.9994162876348042
0.77,-0.0237288240290453,-0.9997184318147778
0.78,-0.08151772298906837,-0.9966718922688036
0.79,-0.1389544984974324,-0.99029876670999
0.8,-0.1957933914992451,-0.9806451691846666
0.81,-0.2517954807915241,-0.9677804688321444
0.82,-0.3067310510190643,-0.9517962294213715
0.83,-0.360381718856681,-0.9328049188945694
0.84,-0.4125427524706556,-0.9109382401589777
0.85,-0.4630252010379697,-0.8863451151801695
0.86,-0.5116572112635988,-0.8591896753115444
0.87,-0.5582851310004627,-0.8296491502459314
0.88,-0.6027747624956842,-0.7979113896281163
0.89,-0.6450121146056548,-0.7641723444432817
0.9,-0.6849033806949796,-0.7286338992337564
0.91,-0.7223748765074731,-0.6915016542213135
0.92,-0.7573729762497764,-0.6529825226195227
0.93,-0.7898630293547354,-0.6132832908685515
0.94,-0.8198315022600176,-0.5726048444626388
0.95,-0.8472800581088429,-0.5311464046108907
0.96,-0.87222710604797,-0.4891010892189703
0.97,-0.8947072328114712,-0.4466530729266729
0.98,-0.9147687636049974,-0.4039778572305473
0.99,-0.9324721633950926,-0.3612418365766563
1,-0.9478889790651891,-0.3186008213529172
1.01,-0.9611003522450691,-0.2761994078820665
1.02,-0.9721954926504638,-0.2341707156544601
1.03,-0.9812702285210794,-0.1926362858295098
1.04,-0.988425655342431,-0.1517060442463841
1.05,-0.9937668599268163,-0.1114783750832206
1.06,-0.9974017178939502,-0.07204035773229545
1.07,-0.9994397854510623,-0.03346812300584825
1.08,-0.9999912941451459,0.004172724998888593
1.09,-0.9991662459334837,0.04082662106014927
1.1,-0.9970736098909315,0.07644747516475878
1.11,-0.9938206215767503,0.1109980726355266
1.12,-0.989512181961496,0.1444494435773261
1.13,-0.9842503462098543,0.1767802477251967
1.14,-0.9781338977211006,0.20797614798079
1.15,-0.9712580099415362,0.2380291539379301
1.16,-0.9637140077539714,0.2669369050146087
1.17,-0.9555891522653212,0.2947021752088792
1.18,-0.9469665240004264,0.3213322306002774
1.19,-0.9379248620913586,0.3468385115163913
1.2,-0.9285386578697377,0.3712357213974249
1.21,-0.9188780829104782,0.3945415931771505
1.22,-0.9090090816313178,0.4167763063224544
1.23,-0.8989934269089415,0.4379621197940727
1.24,-0.8888888474633529,0.4581229276681882
1.25,-0.8787491278815011,0.4772839513827185
1.26,-0.8686242548045235,0.4954713957084568
1.27,-0.8585605875914509,0.5127121194536195
1.28,-0.8486010961729992,0.5290332499701548
1.29,-0.8387853926238475,0.5444621796974128
1.3,-0.8291500297915916,0.5590261425878067
1.31,-0.8197284856764536,0.5727523110128743
1.32,-0.8105514742914738,0.5856674035012691
1.33,-0.8016470574337392,0.5977976206943511
1.34,-0.7930408829554314,0.6091684151047801
1.35,-0.7847563382319476,0.619804396245126
1.36,-0.7768146885148183,0.6297292590531474
1.37,-0.7692351991192762,0.6389657333816327
1.38,-0.7620353043584306,0.6475354777240812
1.39,-0.7552306818686363,0.6554590888562266
1.4,-0.7488354342885659,0.6627559825107993
1.41,-0.7428621912236562,0.6694443702432549
1.42,-0.7373222221200811,0.6755412206282497
